genres,id,original_title,tagline
"['Drama', 'Romance']",10399,Mansfield Park,
"['Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",90762,Zbogum na dvaesetiot vek,The future is as screwed up as the past.
"['Drama', 'Fantasy', 'Thriller', 'Mystery']",2668,Sleepy Hollow,Heads will roll.
"['Adventure', 'Action', 'Thriller']",36643,The World Is Not Enough,As the countdown begins for the new millennium there is still one number you can always count on.
"['Comedy', 'Drama']",99,Todo sobre mi madre,Part of every woman is a mother/actress/saint/sinner. And part of every man is a woman.
['Documentary'],159569,Home Page,
['Horror'],77010,La morte vivante,
['Comedy'],25898,Babes in Toyland,
"['Fantasy', 'Comedy', 'Drama']",9647,Scrooged,The spirits will move you in odd and hysterical ways.
"['Comedy', 'Drama']",11787,Harvey,The Wonderful Pulitzer Prize Play... becomes one of the Great Motion Pictures of our Time!
['Drama'],5156,Ladri di biciclette,A man and his son search for a stolen bicycle vital for his job.
['Drama'],24276,Matewan,It takes more than guns to kill a man.
"['Action', 'Drama', 'History', 'War']",11953,影武者,
"['History', 'Drama', 'Action']",44662,忠臣蔵 花の巻・雪の巻,
['Western'],29005,McCabe & Mrs. Miller,Name your poison
"['Drama', 'Romance']",26371,Maurice,
['Drama'],596,The Grapes of Wrath,The most discussed book in years - now comes to the screen to become the most discussed picture in ages
['Comedy'],52470,My Man Godfrey,She wanted her breakfast in bed - but not alone.
"['Comedy', 'Romance']",20334,The Shop Around the Corner,"Quiet, Unassuming, Perfect"
['Drama'],11393,The Natural,He lived for a dream that wouldn't die.
"['Comedy', 'Drama', 'Romance']",31121,Shampoo,
['Drama'],293,A River Runs Through It,The Story of an American Family.
"['Romance', 'Drama', 'Thriller', 'Horror', 'Mystery']",10998,Fatal Attraction,A look that led to an evening. A mistake he'll regret...FOR THE REST OF HIS LIFE.
"['Mystery', 'Thriller']",12235,Jagged Edge,"When a murder case is this shocking, which do you trust... your emotions or the evidence?"
"['Drama', 'Romance']",36094,Stanley & Iris,Some people need love spelled out for them.
"['Adventure', 'Comedy', 'Crime']",9013,Midnight Run,This could be the beginning of a beautiful friendship.
['Drama'],11005,Awakenings,There is no such thing as a simple miracle.
"['Drama', 'Romance', 'History']",59820,Come See the Paradise,
"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",2924,Backdraft,"Silently behind a door, it waits."
"['Comedy', 'Drama']",177,The Fisher King,"A Modern Day Tale About The Search For Love, Sanity, Ethel Merman And The Holy Grail."
['Drama'],38557,The River,He might be able to hold back the river. But could he hold back the greed of man?
['Drama'],42087,Country,
"['Drama', 'Family']",13681,Places in the Heart,"The story of a woman fighting for her children, for her land, for the greatest dream there is...the future."
['Drama'],34760,"'night, Mother",
"['Action', 'Fantasy', 'Horror', 'Mystery']",9946,End of Days,Prepare for the end.
"['Animation', 'Comedy', 'Family']",863,Toy Story 2,The toys are back!
"['Comedy', 'Drama']",31582,Flawless,
['Drama'],125520,Miss Julie,Worlds apart... bound by desire.
"['Drama', 'War', 'Romance', 'Western']",22267,Ride with the Devil,"In a No-man's Land between North and South, You didn't fight for the Blue or the Grey... You fought for your friends and family."
"['Comedy', 'Drama']",55123,Tumbleweeds,They ran away from everything but each other.
"['Horror', 'Thriller']",5486,Reazione a catena,"They came to play, they stayed to die."
['Comedy'],10411,The Distinguished Gentleman,From con man to congressman
"['Crime', 'Thriller']",41462,The Hitch-Hiker,Who will be his NEXT victim... YOU?
"['Action', 'Western']",1718,Santa Fe Trail,"Where the railroad and civilization ended, the Sante Fe Trail began!"
[],28604,Lauderdale,
['Drama'],15506,Agnes Browne,
['Drama'],20024,The End of the Affair,
['Romance'],78256,The End of the Affair,
"['Comedy', 'Drama']",13787,Holy Smoke,He had only one thing on his mind... but so did she!
['Drama'],54933,A Map of the World,A woman's life falls apart after she's blamed for an accident on her property.
"['Comedy', 'Drama']",9684,Sweet and Lowdown,
"['Comedy', 'Drama']",9586,The Bonfire of the Vanities,"Take one Wall Street tycoon, his Fifth Avenue mistress, a reporter hungry for fame, and make the wrong turn in The Bronx...then sit back and watch the sparks fly."
[],41638,Broadway Damage,
"['Drama', 'Comedy']",70801,Daddy-Long-Legs,
"['Comedy', 'Western']",33015,Go West,
"['Drama', 'History', 'War']",777,La Grande Illusion,A Great Drama of Human Emotions
['Drama'],21887,The Great Santini,The bravest thing he would ever do was let his family love him.
['Documentary'],5652,The James Dean Story,
"['War', 'Action', 'Thriller']",19664,The Sea Wolves,The Last Charge of the Calcutta Light Horse
"['Drama', 'Romance']",32331,Stealing Home,"Stealing hearts, stealing laughs, stealing memories"
"['Action', 'Adventure']",76083,Tarzan the Fearless,
"['Drama', 'Comedy']",32628,Three Ages,
"['Crime', 'Drama', 'Mystery']",32669,The Two Jakes,They say money makes the world go round. But sex was invented before money.
"['Documentary', 'Music']",18161,U2: Rattle and Hum,
"['Drama', 'War']",31681,Hell in the Pacific,"Out of violence, compassion. Out of suspicion, trust. Out of hell, hope."
"['Comedy', 'Romance']",33666,The Glass Bottom Boat,Is this the girl next door?
['Drama'],32274,Cradle Will Rock,
['Comedy'],10402,Deuce Bigalow: Male Gigolo,He charges $10 but he’s willing to negotiate.
"['Fantasy', 'Drama', 'Crime']",497,The Green Mile,Miracles do happen.
['Drama'],1715,The Cider House Rules,A story about how far we must travel to find the place where we belong.
"['Comedy', 'Drama', 'Mystery']",35118,Diamonds,Hunting for buried treasure was never this much fun.
['Drama'],42739,The War Zone,When the worst of men hides in a family with no history.
"['Crime', 'Drama', 'Mystery', 'Thriller']",26162,The Bat Whispers,
['Drama'],25188,The Last Picture Show,"Anarene, Texas, 1951. Nothing much has changed..."
"['Action', 'Adventure', 'Family', 'Fantasy']",15515,The 7th Voyage of Sinbad,8th Wonder of the Screen!
"['Action', 'Drama', 'War']",75888,Blood on the Sun,Having a wonderful time In Tokyo!
"['Drama', 'History', 'Romance']",1439,Anna and the King,
"['Comedy', 'Science Fiction']",2277,Bicentennial Man,One robot's 200 year journey to become an ordinary man.
"['Animation', 'Fantasy', 'Family', 'Comedy']",10137,Stuart Little,The Little Family Just Got Bigger
"['Drama', 'History']",10387,荊軻刺秦王,
"['Animation', 'Family', 'Music']",49948,Fantasia 2000,
['Drama'],334,Magnolia,"Things fall down. People look up. And when it rains, it pours."
"['Drama', 'Romance']",30237,Onegin,
"['Comedy', 'Drama']",50116,Simpatico,
"['Comedy', 'Drama', 'Music']",46435,Topsy-Turvy,Gilbert & Sullivan & So Much More
"['Drama', 'Foreign']",94260,The Alley Cats,
"['Drama', 'Action', 'Adventure', 'Crime', 'Thriller']",22213,Boiling Point,He's a cop who reached the Boiling Point
"['Adventure', 'Fantasy']",47070,Brenda Starr,Off the comics onto the big screen...
['Drama'],36492,Carnal Knowledge,Everyone needs to be loved - sometime or another.
"['Adventure', 'Drama']",624,Easy Rider,A man went looking for America and couldn’t find it anywhere...
"['Thriller', 'Drama', 'Crime']",26578,The Falcon and the Snowman,They came from the best of families. And they committed the worst of crimes.
['Western'],415072,Hi-Yo Silver,
"['Romance', 'Drama']",43103,Room at the Top,A Savage Story of lust and ambition
['Adventure'],43194,Ulisse,History's Greatest Epic...On the Screen at Last!
['Drama'],9563,Any Given Sunday,Play or be Played.
"['Comedy', 'Drama', 'Romance']",1850,Man on the Moon,"Hello, my name is Andy and this is my movie."
"['Comedy', 'Family', 'Science Fiction']",926,Galaxy Quest,A comedy of Galactic Proportions.
"['Thriller', 'Crime', 'Drama']",1213,The Talented Mr. Ripley,How far would you go to become someone else?
['Comedy'],10471,Next Friday,The suburbs make the hood look good.
['Drama'],10400,The Hurricane,His greatest fight was for justice.
['Drama'],10397,Angela's Ashes,
"['Comedy', 'Drama']",20761,Play It to the Bone,
"['Drama', 'History', 'Thriller']",12524,Titus,If you think you know Shakespeare... Think again.
['Documentary'],28216,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",
['Drama'],36773,The Third Miracle,
"['Drama', 'Action', 'Comedy', 'Crime']",30814,Montana,Never underestimate the power of a woman.
"['Drama', 'Romance']",10219,Snow Falling on Cedars,From the director of 'Shine'
['Drama'],3558,"Girl, Interrupted","The crazy thing is, you're not crazy."
['Drama'],104878,Trans,
"['Documentary', 'Family']",41276,The Life and Times of Hank Greenberg,"When America Needed Heroes, A Jewish Slugger Stepped To The Plate."
"['Comedy', 'Drama', 'Family']",17908,My Dog Skip,Every family needs an optimist.
"['Horror', 'Science Fiction', 'Thriller']",10384,Supernova,"In the farthest reaches of space, something has gone terribly wrong."
"['Drama', 'Foreign']",125317,The Quarry,
['Drama'],48233,Theeviravaathi: The Terrorist,Her death will not be ordinary.
"['Drama', 'Romance']",10236,The Way We Were,Everything seemed so important then .. even love!
"['Romance', 'Drama']",71067,Tess of the Storm Country,
"['Comedy', 'Drama', 'War']",632,Stalag 17,"THE STAR-SPANGLED, LAUGH-LOADED SALUTE TO OUR P.W. HEROS!"
"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",11851,The Presidio,He didn't want to share the murder investigation. There's no way he's going to share his daughter.
"['Crime', 'Drama']",5924,Papillon,The greatest adventure of escape!
"['Comedy', 'Music', 'Romance']",33734,Pal Joey,"From Your Pal, Columbia!"
"['Comedy', 'Drama']",14886,The Last Detail,No *#@!!* Navy's going to give some poor **!!@* kid eight years in the #@!* brig without me taking him out for the time of his *#@!!* life.
['Drama'],26617,Five Easy Pieces,He rode the fast lane on the road to nowhere.
"['Comedy', 'Drama']",11900,Auch Zwerge haben klein angefangen,
"['Crime', 'Thriller', 'Horror', 'Drama']",10493,Dead Calm,High seas. Deep terror. Try to stay calm.
"['Horror', 'Drama', 'Thriller', 'Science Fiction']",16241,The Boys from Brazil,If they survive...will we?
['Horror'],27632,La maschera del demonio,STARE INTO THESE EYES... discover deep within them the unspeakable terrifying secret of BLACK SUNDAY... it will paralyze you with fright!
"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",22160,Against All Odds,
"['Action', 'Adventure', 'Drama', 'Romance']",4460,The Snows of Kilimanjaro,His Adventures . . . Like His Loves . . . Were Great and Exciting !
['Comedy'],9644,National Lampoon's Loaded Weapon 1,See it before they make the sequel!
"['Drama', 'Romance']",43455,The Loves of Carmen,
['Comedy'],13342,Fast Times at Ridgemont High,"Fast Cars, Fast Girls, Fast Carrots...Fast Carrots?"
['Drama'],35119,A Cry in the Dark,A family torn apart. A public filled with outrage. A woman accused of murder.
"['Comedy', 'Crime', 'Drama']",21256,Born to Win,
"['Action', 'Adventure', 'Animation', 'Family']",14919,Batman: Mask of the Phantasm,The Dark Knight fights to save Gotham city from its deadliest enemy.
['Drama'],14040,American Flyers,Two brothers challenge the road. And life itself.
['Drama'],75641,Voyage of the Damned,It lasted 30 days...You will remember it as long as you live.
['Horror'],17343,Vampyros Lesbos,A Psycho-Sexadelic Horror Freakout!
['Drama'],22692,A Star Is Born,Is the price of stardom a broken heart?
"['Drama', 'Horror', 'Science Fiction']",47620,Poison,
"['Crime', 'Thriller']",2990,Pacific Heights,Where terror lives.
['Thriller'],38775,Night Tide,Temptress from the sea… loving… killing!
"['Comedy', 'Mystery', 'Romance']",10831,The Draughtsman's Contract,
"['Music', 'Drama']",21193,Carmen,
"['Comedy', 'Drama']",33078,A Zed & Two Noughts,
"['Drama', 'Thriller']",16672,砂の女,Haunting. Erotic. Unforgettable.
"['Comedy', 'Drama', 'Family', 'Romance']",10472,Down to You,A new comedy about giving first love a second chance.
['Music'],123277,Hellhounds on My Trail: The Afterlife of Robert Johnson,
"['Comedy', 'Drama', 'Romance', 'Thriller']",79474,"Más que amor, frenesí",
[],97805,Wirey Spindell,
"['Crime', 'Drama', 'Thriller']",53714,Another Man's Poison,She Had Everything You Could Give A Woman To Torment A Man!
"['Drama', 'Thriller']",21489,The Odessa File,
"['Drama', 'Comedy']",51392,The Saphead,
"['Comedy', 'Romance']",32600,Seven Chances,Seven laughs a minute!
['Comedy'],110479,Smashing Time,Two Girls Go Stark Mod!
"['Fantasy', 'Comedy']",299121,Train Ride to Hollywood,
"['Comedy', 'Drama']",13005,Where the Buffalo Roam,
"['Western', 'Action', 'Comedy']",65134,Zachariah,A head of his time
"['Documentary', 'Foreign']",121738,Falkens öga,
"['Drama', 'Mystery', 'Thriller']",18681,Eye of the Beholder,Obsession is in the eye of the beholder.
"['Drama', 'Comedy']",75531,Isn't She Great,Talent Isn't Everything...
"['Comedy', 'Foreign']",20468,The Big Tease,He saw. He combed. He conquered.
['Comedy'],14521,Phörpa,Buddhism is their philosophy. Soccer is their religion.
"['Drama', 'Foreign', 'Romance']",46835,Santitos,
"['Comedy', 'Family']",10406,Encino Man,When the stone age meets the rock age.
"['Comedy', 'Romance']",14741,The Goodbye Girl,Thank you Neil Simon for making us laugh at falling in love...again.
['Drama'],32015,Soy Cuba,
"['Drama', 'History']",1883,Malcolm X,
"['Music', 'Comedy']",2005,Sister Act,No booze! No sex! No drugs!... No way!
"['Music', 'Comedy']",6279,Sister Act 2: Back in the Habit,
['Thriller'],11087,The Hand that Rocks the Cradle,Trust is her weapon. Innocence her opportunity. Revenge her only desire.
"['Action', 'Adventure', 'Drama', 'Thriller']",7305,Alive,They survived the impossible...by doing the unthinkable.
"['Drama', 'Mystery']",24735,Agnes of God,
['Drama'],9475,Scent of a Woman,Col. Frank Slade has a very special plan for the weekend!
"['Music', 'Comedy']",8872,Wayne's World,You'll laugh. You'll cry. You'll hurl.
"['Music', 'Comedy']",8873,Wayne's World 2,You'll laugh again! You'll cry again!! You'll hurl again!!!
['Comedy'],11287,A League of Their Own,"To achieve the incredible, you have to attempt the impossible."
"['Drama', 'Action', 'Thriller', 'Crime']",9869,Patriot Games,Not for honor. Not for country. For his wife and child.
"['Thriller', 'Action', 'Drama', 'Music', 'Romance']",619,The Bodyguard,Never let her out of your sight. Never let your guard down. Never fall in love.
"['Fantasy', 'Comedy']",9374,Death Becomes Her,In one small bottle... The fountain of youth. The secret of eternal life. The power of an ancient potion. Sometimes it works... sometimes it doesn't.
"['Adventure', 'Drama', 'Romance', 'Western']",11259,Far and Away,What they needed was a country big enough for their dreams.
"['Drama', 'Romance']",8293,Howards End,
"['Comedy', 'Drama', 'Romance']",11068,Singles,Love is a game. Easy to start. Hard to finish.
"['Drama', 'Mystery']",1923,Twin Peaks: Fire Walk with Me,Meet Laura Palmer... In a town where nothing is as it seems... And everyone has something to hide.
"['Comedy', 'Drama']",10158,White Men Can't Jump,It ain't easy being this good.
"['Action', 'Comedy', 'Horror']",10206,Buffy the Vampire Slayer,She knows a sucker when she sees one.
"['Action', 'Thriller', 'Crime']",11782,辣手神探,"As a cop, he has brains, brawn, and an instinct to kill."
"['Comedy', 'Crime', 'Drama', 'Horror']",10086,C'est arrivé près de chez vous,
"['Action', 'Crime', 'Thriller']",9367,El Mariachi,"He didn't come looking for trouble, but trouble came looking for him."
"['Action', 'Comedy']",9876,Stop! Or My Mom Will Shoot,
"['Adventure', 'Fantasy', 'Drama', 'Science Fiction', 'Romance']",10326,Forever Young,"Time waits for no man, but true love waits forever."
"['Comedy', 'Drama', 'Romance']",16562,The Cutting Edge,The King of the Rink is about to meet America's Ice Queen.
['Drama'],9609,Of Mice and Men,"We have a dream. Someday, we'll have a little house and a couple of acres. A place to call home."
"['Crime', 'Drama']",12143,Bad Lieutenant,Gambler. Thief. Junkie. Killer. Cop.
"['Horror', 'Mystery']",4234,Scream 3,Someone has taken their love of trilogies one step too far.
['Thriller'],9605,Single White Female,Living with a roommate can be murder.
"['Action', 'Thriller', 'Crime']",8374,The Boondock Saints,Thy Kingdom Come. Thy Will Be Done.
"['Action', 'Comedy', 'Romance', 'Thriller']",29076,Gun Shy,The Agency's best has a bad case of nerves.
"['Drama', 'Foreign']",80471,Amic/Amat,
['Documentary'],49477,Gendernauts: A Journey Through Shifting Identities,
"['Drama', 'Action']",121940,Knockout,LADIES... Let's get it on!
"['Horror', 'Thriller']",28156,The Baby,What goes on in this nursery isn't for kids!
['Documentary'],113096,The Brandon Teena Story,All Brandon wanted was to be one of the guys; unfortunately he was a girl.
"['Comedy', 'Foreign']",106837,Different for Girls,Expect the Unexpected
"['Drama', 'Romance', 'Comedy']",24349,Minnie and Moskowitz,
"['Comedy', 'Mystery', 'Thriller']",27841,They Might Be Giants,
"['Drama', 'Adventure', 'Romance', 'Thriller']",1907,The Beach,Somewhere on this planet it must exist.
"['Comedy', 'Family']",15489,Snow Day,Roads closed. Schools shut. Rules were made to be frozen!
"['Animation', 'Family']",15655,The Tigger Movie,
"['Drama', 'Foreign']",68546,Cotton Mary,
['Drama'],36210,一個都不能少,"In her village, she was the teacher. In the city, she discovered how much she had to learn."
['Comedy'],279444,Soft Toilet Seats,History of death in your new house?
"['Drama', 'Thriller', 'Romance']",77908,Trois,Be careful what you ask for...
"['Drama', 'Action', 'Thriller', 'Crime', 'Mystery']",22342,The Big Combo,The Most Startling Story The Screen Has Ever Dared Reveal!
"['Science Fiction', 'Drama', 'Fantasy']",96484,Conceiving Ada,
['Horror'],30062,Eaten Alive,Meet the maniac & his friend. Together they make the greatest team in the history of the mass slaughter in...
"['Comedy', 'Drama']",62463,Raining Stones,
['Drama'],25934,"To Sir, with Love",A story as fresh as the girls in their minis... and as tough as the kids from London's East End!
['Documentary'],101383,With Byrd at the South Pole,
"['Crime', 'Drama', 'Thriller']",14181,Boiler Room,Welcome to the new American dream.
"['Comedy', 'Drama']",10385,Hanging Up,Every family has a few hang-ups.
"['Thriller', 'Science Fiction', 'Action']",2787,Pitch Black,Don't be afraid of the dark. Be afraid of what's in the dark
"['Comedy', 'Crime']",2069,The Whole Nine Yards,"In the heart of suburbia, a hit man with heart has just moved in."
"['War', 'Comedy', 'Drama']",61416,Beautiful People,A comic collision of chaos and coincidence
['Documentary'],79515,Black Tar Heroin: The Dark End of the Street,
"['Drama', 'Crime']",14839,Blue Collar,Whatever became of the American Dream?
"['Mystery', 'Thriller']",42186,Bluebeard,The most sinister love story ever told!
"['Comedy', 'Drama']",28978,The Circus,
"['Comedy', 'Drama', 'Romance']",901,City Lights,True Blind Love
"['Comedy', 'Drama', 'Romance']",25010,The Flamingo Kid,A legend in his own neighborhood.
['Comedy'],36208,A Dog's Life,In his First Million Dollar Picture
"['Comedy', 'Drama']",10098,The Kid,6 reels of Joy.
['Western'],18264,The Man from Laramie,THE MAN who was magnificent in
"['Romance', 'Drama']",291861,The Wild McCullochs,1949... a neat time to be young! - to be a McCulloch!
['Comedy'],33374,Class Reunion,
"['Romance', 'Western']",43368,The Big Trees,MAMMOTH REDWOOD WILDERNESS -- TREASURE PILED TO THE SKY!
"['Music', 'Romance', 'Comedy']",127602,Happy Go Lovely,Love...Fun...Youth...Set to Music!
['Thriller'],2155,Reindeer Games,The trap is set. The game is on.
"['Comedy', 'Drama']",11004,Wonder Boys,Undependable. Unpredictable. Unforgettable.
"['Action', 'Drama', 'Mystery', 'Thriller']",25212,Deterrence,
"['Comedy', 'Drama']",36048,Judy Berlin,
"['Romance', 'Comedy', 'Drama']",139,Mifunes sidste sang,
['Comedy'],210307,The Waiting Game,
"['Action', 'Comedy', 'Romance']",47816,3 Strikes,"the few, the proud, the paroled."
"['Action', 'Comedy', 'Crime']",20682,Chain of Fools,Why should smart people get all the money?
"['Comedy', 'Crime', 'Mystery']",25166,Drowning Mona,"The death of Mona Dearly wasn't so much a whodunnit, as a who didn't."
['Comedy'],1831,The Next Best Thing,Best Friends Make The Best Mistakes
"['Comedy', 'Drama', 'Romance', 'Science Fiction']",10416,What Planet Are You From?,"To save his planet, an alien must find a woman on Earth to have his baby. There's just one problem."
['Documentary'],14271,Beyond the Mat,
"['Crime', 'Drama']",4816,Ghost Dog: The Way of the Samurai,All assassins live beyond the law … only one follows the code
"['Drama', 'Foreign', 'Romance']",19958,The Year My Voice Broke,
"['Drama', 'Romance']",28569,Splendor in the Grass,There is a miracle in being young...and a fear.
"['Comedy', 'Drama', 'Romance']",2193,My Tutor,School's out...But Bobby's education has just begun
"['Family', 'Adventure']",64871,The Legend of Lobo,
"['Comedy', 'Drama']",54575,The Killing of Sister George,The story of three consenting adults in the privacy of their own home.
"['Crime', 'Drama', 'Thriller']",11016,Key Largo,A storm of fear and fury in the sizzling Florida Keys !
"['Action', 'Crime', 'Thriller']",23020,Jail Bait,Danger! These girls are hot!
"['War', 'Drama']",54195,It Happened Here,The Story of Hitler's England
"['Comedy', 'Drama']",139058,I'll Never Forget What's'isname,"He smashed up his desk, gave up a wife, three mistresses and went back to the simple life. Then his troubles really started!"
['Documentary'],20423,For All Mankind,
"['Drama', 'Action', 'History', 'War']",10839,Cross of Iron,"Captain Stransky, you are the rest of my platoon"
"['Horror', 'Science Fiction']",36489,Bride of the Monster,
"['Comedy', 'Romance', 'Drama']",24481,Born Yesterday,It's Here AT LAST!
"['Drama', 'History']",11296,Birdy,
"['Comedy', 'Drama', 'Romance']",61651,And God Created Woman,"On the Seventh Day, He got Creative."
['Horror'],28172,Blood Feast,You'll Recoil and Shudder as You Witness the Slaughter and Mutilation of Nubile Young Girls - in a Weird and Horrendous Ancient Rite!
"['Adventure', 'Family']",57855,"Charlie, the Lonesome Cougar",Finding friendship is the wildest adventure of all.
['Horror'],28180,Color Me Blood Red,Fiendish is the word for it!
"['Action', 'Adventure', 'Drama']",14280,Never Cry Wolf,They Thought He Couldn't Do the Job. That's Why They Chose Him.
"['Crime', 'Horror']",72086,The Night Visitor,Locked in the cold asylum of his mind - a sane man stalks his prey...
['Comedy'],149687,The Perils of Pauline,
"['Romance', 'Drama']",29478,A Raisin in the Sun,The Prize-Winning Drama that Warms the Screen with its People and its Passions...
['Horror'],28177,Two Thousand Maniacs!,Madmen crazed for carnage!
"['Drama', 'Action', 'Thriller', 'Mystery']",64166,Brown's Requiem,"In L.A., The Law Is Still For Sale."
"['Comedy', 'Romance', 'Foreign']",73642,The Closer You Get,"For five desperate Irishmen, the perfect girl is abroad."
['Science Fiction'],2067,Mission to Mars,Let There Be Life.
"['Horror', 'Mystery', 'Thriller']",622,The Ninth Gate,Every book has a life of its own.
['Documentary'],110666,Condo Painting,
['Drama'],28463,Est -Ouest,
"['Fantasy', 'Drama', 'Comedy']",12186,Defending Your Life,The first true story of what happens after you die.
"['Drama', 'Comedy']",20283,Breaking Away,The movie that tells you exactly what you can do with your high school diploma!
"['Drama', 'Family']",5693,Hoosiers,They needed a second chance to finish first.
"['Comedy', 'Romance']",287,Bull Durham,Romance is a lot like baseball. It's not whether you win or lose. It's how you play the game.
"['Crime', 'Drama', 'Thriller']",968,Dog Day Afternoon,The most bizarre bank siege ever
"['Comedy', 'Drama']",838,American Graffiti,Where were you in '62?
"['Action', 'Crime', 'Drama', 'Thriller']",16958,The Asphalt Jungle,The City Under the City
['Western'],3114,The Searchers,He had to find her... he had to find her...
"['War', 'Action']",31938,The Devil's Brigade,What they did to each other was nothing compared to what they did to the enemy!
"['Drama', 'Western', 'Romance']",12501,The Big Country,Big they fought! Big they loved! Big their story!
"['Romance', 'Crime', 'Drama']",22650,Mélodie en sous-sol,
"['Action', 'Drama', 'Romance', 'Thriller']",31618,Betrayed,
['Music'],42232,Bound for Glory,"""This Land is Your Land, This Land is My Land, From California to the New York Island. This land was made for you and me."""
"['Action', 'History', 'War']",15873,The Bridge at Remagen,
"['Action', 'Comedy', 'Western']",26928,Buck and the Preacher,The fight was against the raiders... but the feud was between themselves!
"['Drama', 'Romance']",68427,Daughters of the Dust,
['Science Fiction'],25392,Destination Moon,
[],67455,La nuit fantastique,
"['Drama', 'History', 'Thriller', 'War']",22178,Hangmen Also Die!,The shot heard 'round the world!
['Drama'],48213,Der Unhold,
"['Science Fiction', 'Drama', 'Romance']",35412,On the Beach,The Biggest Story of Our Time!
"['Drama', 'Thriller']",43463,Railroaded!,
"['Comedy', 'Music', 'Drama']",59939,Slaves to the Underground,Love sex insanity. Thank God you're only young once.
[],159727,Song of Freedom,
[],244151,Big Fella,
"['Action', 'Adventure', 'Crime', 'Thriller']",8333,The Taking of Pelham One Two Three,We are going to kill one passenger a minute until New York City pays us 1 million dollars.
['Comedy'],19259,Volunteers,"Ready or not, here they come."
"['Drama', 'Thriller', 'History']",820,JFK,The story that won’t go away.
"['Comedy', 'Crime', 'Mystery']",11718,Who's Harry Crumb?,Nerves of steel. Body of iron. Brain of stone.
"['Comedy', 'Family', 'Fantasy']",8989,Harry and the Hendersons,"When You Can't Believe Your Eyes, Trust Your Heart."
"['Action', 'Adventure']",32031,Let's Get Harry,An adventure about the hero in all of us
['Adventure'],58048,Shanghai Surprise,A romantic adventure for the dangerous at heart.
['Comedy'],26827,Who's That Girl,A funny thing happened on the way to the bus station.
['Comedy'],11157,She-Devil,
"['Comedy', 'Fantasy', 'Romance', 'Science Fiction']",28370,Date With an Angel,
"['Comedy', 'Romance']",918,Blind Date,A date with her is every man's dream come true. And with dreams like her - who needs nightmares?
"['Action', 'Comedy', 'Romance']",61178,Nadine,They're a couple on the run... from each other.
"['Adventure', 'Comedy', 'Family']",11176,The Muppet Movie,More entertaining than humanly possible.
"['Crime', 'Family', 'Comedy']",14900,The Great Muppet Caper,
"['Romance', 'Comedy', 'Family']",11899,The Muppets Take Manhattan,
"['Adventure', 'Comedy', 'Family', 'Music']",36536,Sesame Street Presents Follow That Bird,It's Big Adventure! It's Big Laughs! It's Big Bird on the Big Screen!
"['Animation', 'Science Fiction', 'Family']",18890,We're Back! A Dinosaur's Story,Wish for a dinosaur and watch all your dreams come true.
"['Adventure', 'Fantasy', 'Action', 'Science Fiction', 'Family']",19736,Baby: Secret of the Lost Legend,
"['Romance', 'Comedy', 'Drama']",123047,Turtle Diary,
"['Action', 'Drama', 'Thriller']",24575,Raise the Titanic,They've found the Titanic. There's just one thing left to do...
"['Drama', 'Action', 'Romance']",16535,Titanic,TITANIC in Emotion...in Spectacle...in Climax...in Cast!
"['Drama', 'Action', 'History']",10971,A Night to Remember,The night the unsinkable sank
"['War', 'Action', 'Adventure', 'Drama']",23928,Captain Horatio Hornblower R.N.,The sun never sets on his world of adventure.
"['Drama', 'Romance', 'Foreign']",31336,Les convoyeurs attendent,
['Drama'],462,Erin Brockovich,She brought a small town to its feet and a huge corporation to its knees.
['Horror'],9532,Final Destination,No accidents. No coincidences. No escapes. You can't cheat death.
[],117259,Soft Fruit,
"['Drama', 'Music', 'TV Movie']",78231,Babymother,From Ragga to Riches.
"['Adventure', 'Drama', 'Family']",2383,L'Ours,He's an orphan... at the start of a journey. A journey to survive.
"['Drama', 'Thriller', 'Mystery']",25503,Impact,Wanted By Two Women! One For Love! One For Murder!
"['Drama', 'Romance']",53879,Love Is a Many-Splendored Thing,The price they pay when they come out of their secret garden and face the world in modern-day Hong Kong - makes this one of the screen's unforgettable experiences!
"['Drama', 'History']",1396,Зеркало,
"['Action', 'Adventure', 'Comedy']",11570,The Crimson Pirate,MAN OF NINE LIVES AND 1000 SURPRISES!
"['Drama', 'Thriller', 'Crime', 'Adventure']",1541,Thelma & Louise,Somebody said get a life... so they did
[],150043,Something For Everyone,
"['Crime', 'Drama', 'Mystery', 'Thriller']",17443,...And Justice for All,
['Comedy'],8469,Animal House,It was the Deltas against the rules... the rules lost!
"['Comedy', 'Romance']",27995,She's Gotta Have It,A Seriously Sexy Comedy
"['Comedy', 'Drama']",36739,School Daze,
['Drama'],925,Do the Right Thing,"It's the hottest day of the summer. You can do nothing, you can do something, or you can..."
"['Drama', 'Romance']",41823,Mo' Better Blues,
"['Drama', 'Romance']",1713,Jungle Fever,
"['Action', 'Crime', 'Drama', 'Thriller']",26170,Coogan's Bluff,"Before ""Dirty Harry""... there was Coogan."
"['Drama', 'Family']",30547,The Champ,"The most poignant love-triangle of all - a father, his son, and the woman who came between them."
"['Animation', 'Comedy', 'Family']",54825,Creature Comforts,
